Year,Month,Day,Country,Region,city,latitude,longitude,AttackType,Killed,Wounded,Target,Group,Target_type,Weapon_type,casualities
2017,1,2,Afghanistan,South Asia,Takhta Pul,31.320556,65.961111,Hostage Taking (Kidnapping),0.0,0.0,Construction Workers,Taliban,Business,Firearms,0.0
2017,1,3,Sudan,Sub-Saharan Africa,Fantaga,12.921007000000001,24.318324,Armed Assault,2.0,0.0,"Civilians: Haroun Yousif, Hamid Ibrahim",Unknown,Private Citizens & Property,Firearms,2.0
2017,1,1,Democratic Republic of the Congo,Sub-Saharan Africa,Saboko,1.452372,29.875162,Armed Assault,7.0,0.0,Village,Allied Democratic Forces (ADF),Private Citizens & Property,Melee,7.0
2017,1,1,Democratic Republic of the Congo,Sub-Saharan Africa,Bialee,1.4523700000000002,29.875186,Armed Assault,7.0,0.0,Village,Allied Democratic Forces (ADF),Private Citizens & Property,Melee,7.0
2017,1,1,Turkey,Middle East & North Africa,Istanbul,41.106178,28.689863,Armed Assault,39.0,69.0,Nightclub,Islamic State of Iraq and the Levant (ISIL),Business,Firearms,108.0
2017,1,1,Syria,Middle East & North Africa,Tartus,34.895928000000005,35.886652000000005,Bombing/Explosion,4.0,,Officers,Islamic State of Iraq and the Levant (ISIL),Police,Explosives,
2017,1,1,Pakistan,South Asia,Niaag Bandar,34.824085,71.382386,Bombing/Explosion,1.0,0.0,Patrol,Unknown,Police,Explosives,1.0
2017,1,1,Italy,Western Europe,Florence,43.76956,11.255813999999999,Bombing/Explosion,0.0,1.0,Bookstore,Anarchists,Business,Explosives,1.0
2017,1,1,Turkey,Middle East & North Africa,Cinar,37.724137,40.413484000000004,Bombing/Explosion,0.0,0.0,Police Station,Kurdistan Workers' Party (PKK),Police,Explosives,0.0
2017,1,1,Turkey,Middle East & North Africa,Istanbul,41.106178,28.689863,Armed Assault,0.0,2.0,Mosque,Unknown,Religious Figures/Institutions,Firearms,2.0
2017,1,1,Somalia,Sub-Saharan Africa,Luq district,3.7980129999999996,42.544463,Armed Assault,3.0,0.0,Soldiers,Al-Shabaab,Military,Firearms,3.0
2017,1,1,Pakistan,South Asia,Nurar,32.90382,70.53578900000001,Bombing/Explosion,0.0,0.0,House of Teacher: Malik Gohar Ali,Unknown,Educational Institution,Explosives,0.0
2017,1,1,Yemen,Middle East & North Africa,Taizz,13.586484,44.024105,Bombing/Explosion,3.0,,Residential Areas,Houthi extremists (Ansar Allah),Private Citizens & Property,Explosives,
2017,1,1,Afghanistan,South Asia,Herat,34.346722,62.197315,Bombing/Explosion,1.0,5.0,Mosque,Khorasan Chapter of the Islamic State,Religious Figures/Institutions,Explosives,6.0
2017,1,1,Bahrain,Middle East & North Africa,Jaww,26.0,50.616667,Armed Assault,1.0,1.0,Jau Prison,Unknown,Police,Firearms,2.0
2017,1,1,Myanmar,Southeast Asia,Minbya,20.366728,93.266651,Bombing/Explosion,0.0,0.0,Unknown,Unknown,Unknown,Explosives,0.0
2017,1,1,Afghanistan,South Asia,Marjah,31.467463000000002,64.092445,Unknown,,,Station,Taliban,Police,Unknown,
2017,1,1,Afghanistan,South Asia,Sangin,32.071931,64.838837,Unknown,4.0,9.0,District Center,Taliban,Government (General),Unknown,13.0
2017,1,1,Afghanistan,South Asia,Chishti Sharif district,34.34013,63.752880000000005,Hostage Taking (Kidnapping),,,Soldier,Taliban,Military,Unknown,
2017,1,1,Afghanistan,South Asia,Charkh,33.79821,68.93483,Bombing/Explosion,0.0,1.0,Tank,Taliban,Military,Explosives,1.0
2017,1,1,Sudan,Sub-Saharan Africa,Nertiti,12.959799,24.039829,Armed Assault,8.0,60.0,Refugee Camp,Sudan Liberation Movement,Private Citizens & Property,Firearms,68.0
